Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP Request,5,227,229,237,249,249,206,249,0.000%,.36041,0.04,0.07
TOTAL,5,227,229,237,249,249,206,249,0.000%,.36041,0.04,0.07
