Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,5,227,206,249,15.32,0.000%,.36041,0.04,0.07,101.0
TOTAL,5,227,206,249,15.32,0.000%,.36041,0.04,0.07,101.0
