Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,5,196,178,221,15.00,0.000%,.36544,13.13,0.08,36786.0
TOTAL,5,196,178,221,15.00,0.000%,.36544,13.13,0.08,36786.0
