Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP Request,5,196,192,205,221,221,178,221,0.000%,.36544,13.13,0.08
TOTAL,5,196,192,205,221,221,178,221,0.000%,.36544,13.13,0.08
