Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,5,218,207,228,7.51,0.000%,.31896,5.03,0.07,16149.0
TOTAL,5,218,207,228,7.51,0.000%,.31896,5.03,0.07,16149.0
