Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP Request,5,188,183,188,208,208,181,208,0.000%,.32942,0.03,0.07
TOTAL,5,188,183,188,208,208,181,208,0.000%,.32942,0.03,0.07
