Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,5,188,181,208,10.23,0.000%,.32942,0.03,0.07,101.0
TOTAL,5,188,181,208,10.23,0.000%,.32942,0.03,0.07,101.0
