Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP Request,5,219,217,225,238,238,209,238,0.000%,.27423,0.03,0.06
TOTAL,5,219,217,225,238,238,209,238,0.000%,.27423,0.03,0.06
