Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,5,213,198,225,9.33,0.000%,.38081,0.04,0.08,101.0
TOTAL,5,213,198,225,9.33,0.000%,.38081,0.04,0.08,101.0
