Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP Request,5,213,213,221,225,225,198,225,0.000%,.38081,0.04,0.08
TOTAL,5,213,213,221,225,225,198,225,0.000%,.38081,0.04,0.08
