Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,5,196,186,220,12.44,0.000%,.31746,10.54,0.07,33986.0
TOTAL,5,196,186,220,12.44,0.000%,.31746,10.54,0.07,33986.0
