Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP Request,5,196,192,197,220,220,186,220,0.000%,.31746,10.54,0.07
TOTAL,5,196,192,197,220,220,186,220,0.000%,.31746,10.54,0.07
