Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP Request,5,215,219,219,220,220,203,220,0.000%,.33387,6.02,0.07
TOTAL,5,215,219,219,220,220,203,220,0.000%,.33387,6.02,0.07
