Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,5,215,203,220,6.34,0.000%,.33387,6.02,0.07,18475.0
TOTAL,5,215,203,220,6.34,0.000%,.33387,6.02,0.07,18475.0
