Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP Request,5,246,248,248,250,250,240,250,0.000%,.23556,50.93,0.05
TOTAL,5,246,248,248,250,250,240,250,0.000%,.23556,50.93,0.05
