Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP Request,5,187,184,193,194,194,181,194,0.000%,.38150,20.36,0.08
TOTAL,5,187,184,193,194,194,181,194,0.000%,.38150,20.36,0.08
