Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP Request,5,241,230,255,266,266,226,266,0.000%,.35796,16.88,0.07
TOTAL,5,241,230,255,266,266,226,266,0.000%,.35796,16.88,0.07
