Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,5,241,226,266,16.35,0.000%,.35796,16.88,0.07,48278.0
TOTAL,5,241,226,266,16.35,0.000%,.35796,16.88,0.07,48278.0
