Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP Request,5,260,261,271,283,283,230,283,0.000%,.34130,43.26,0.07
TOTAL,5,260,261,271,283,283,230,283,0.000%,.34130,43.26,0.07
