Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,5,260,230,283,17.75,0.000%,.34130,43.26,0.07,129785.0
TOTAL,5,260,230,283,17.75,0.000%,.34130,43.26,0.07,129785.0
