Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP Request,5,197,197,203,207,207,185,207,0.000%,.35291,4.80,0.07
TOTAL,5,197,197,203,207,207,185,207,0.000%,.35291,4.80,0.07
