Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,5,197,185,207,7.44,0.000%,.35291,4.80,0.07,13925.0
TOTAL,5,197,185,207,7.44,0.000%,.35291,4.80,0.07,13925.0
