Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP Request,5,394,397,399,431,431,369,431,0.000%,.39498,230.87,0.08
TOTAL,5,394,397,399,431,431,369,431,0.000%,.39498,230.87,0.08
