Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,5,196,175,228,17.38,0.000%,.36462,0.04,0.08,101.0
TOTAL,5,196,175,228,17.38,0.000%,.36462,0.04,0.08,101.0
