Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP Request,5,218,220,228,232,232,203,232,0.000%,.31383,4.93,0.06
TOTAL,5,218,220,228,232,232,203,232,0.000%,.31383,4.93,0.06
