Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,5,218,203,232,10.84,0.000%,.31383,4.93,0.06,16096.0
TOTAL,5,218,203,232,10.84,0.000%,.31383,4.93,0.06,16096.0
