Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,5,265,245,310,25.06,0.000%,.43829,55.98,0.09,130778.0
TOTAL,5,265,245,310,25.06,0.000%,.43829,55.98,0.09,130778.0
