Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP Request,5,265,251,276,310,310,245,310,0.000%,.43829,55.98,0.09
TOTAL,5,265,251,276,310,310,245,310,0.000%,.43829,55.98,0.09
