Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP Request,5,194,198,199,200,200,187,200,0.000%,.16233,0.02,0.03
TOTAL,5,194,198,199,200,200,187,200,0.000%,.16233,0.02,0.03
