Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,5,194,187,200,5.68,0.000%,.16233,0.02,0.03,101.0
TOTAL,5,194,187,200,5.68,0.000%,.16233,0.02,0.03,101.0
