Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,5,203,190,240,18.55,0.000%,.28609,11.71,0.06,41899.0
TOTAL,5,203,190,240,18.55,0.000%,.28609,11.71,0.06,41899.0
