Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP Request,5,347,323,324,483,483,302,483,0.000%,.31636,174.07,0.07
TOTAL,5,347,323,324,483,483,302,483,0.000%,.31636,174.07,0.07
