Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,5,347,302,483,68.65,0.000%,.31636,174.07,0.07,563436.0
TOTAL,5,347,302,483,68.65,0.000%,.31636,174.07,0.07,563436.0
