Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP Request,5,248,251,254,274,274,231,274,0.000%,.23570,0.02,0.05
TOTAL,5,248,251,254,274,274,231,274,0.000%,.23570,0.02,0.05
