Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,5,248,231,274,15.91,0.000%,.23570,0.02,0.05,101.0
TOTAL,5,248,231,274,15.91,0.000%,.23570,0.02,0.05,101.0
