Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,5,228,211,258,16.06,0.000%,.31817,4.95,0.07,15923.0
TOTAL,5,228,211,258,16.06,0.000%,.31817,4.95,0.07,15923.0
