Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP Request,5,244,239,264,274,274,216,274,0.000%,.28762,44.97,0.06
TOTAL,5,244,239,264,274,274,216,274,0.000%,.28762,44.97,0.06
