Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,5,244,216,274,21.33,0.000%,.28762,44.97,0.06,160121.0
TOTAL,5,244,216,274,21.33,0.000%,.28762,44.97,0.06,160121.0
