Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,5,371,316,502,70.34,0.000%,.36472,97.82,0.08,274626.0
TOTAL,5,371,316,502,70.34,0.000%,.36472,97.82,0.08,274626.0
