Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP Request,5,371,325,389,502,502,316,502,0.000%,.36472,97.82,0.08
TOTAL,5,371,325,389,502,502,316,502,0.000%,.36472,97.82,0.08
