Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,5,180,174,188,4.49,0.000%,.38604,12.68,0.08,33622.0
TOTAL,5,180,174,188,4.49,0.000%,.38604,12.68,0.08,33622.0
