Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP Request,5,180,180,182,188,188,174,188,0.000%,.38604,12.68,0.08
TOTAL,5,180,180,182,188,188,174,188,0.000%,.38604,12.68,0.08
