Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,5,253,227,297,24.35,0.000%,.33702,55.84,0.07,169655.0
TOTAL,5,253,227,297,24.35,0.000%,.33702,55.84,0.07,169655.0
