Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP Request,5,253,242,261,297,297,227,297,0.000%,.33702,55.84,0.07
TOTAL,5,253,242,261,297,297,227,297,0.000%,.33702,55.84,0.07
