Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP Request,5,221,223,227,230,230,204,230,0.000%,.42105,16.43,0.09
TOTAL,5,221,223,227,230,230,204,230,0.000%,.42105,16.43,0.09
