Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP Request,5,275,272,289,302,302,257,302,0.000%,.34965,135.39,0.07
TOTAL,5,275,272,289,302,302,257,302,0.000%,.34965,135.39,0.07
