Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,5,275,257,302,17.78,0.000%,.34965,135.39,0.07,396516.0
TOTAL,5,275,257,302,17.78,0.000%,.34965,135.39,0.07,396516.0
